state,bill_number,bill_id,session_year,party,is_bipartisan,status,status_full,Author,Additional Authors,Topics,Summary,bill_url
AL,H 169,ALH169,2025,Republican,False,Failed,Failed - Adjourned - House Ways and Means Education Committee,Garrett (R),,"Appropriations, Education Use","Relates to make appropriations for the support, maintenance and development of public education in state, for debt service, and for capital outlay for the fiscal year ending specific date.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H169&ciq=urn:user:PA196471263&client_md=5883624f12ed272ea6ef90117e0c6cca&mode=current_text
AL,H 208,ALH208,2025,Republican,False,Failed,Failed - Adjourned - HOUSE,Shaw (R),,Government Use,"Relates to secretary of Information Technology, duties cybertechnology technology quality assurance for state agencies further provided.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H208&ciq=urn:user:PA196471263&client_md=856c22743bcd370fe814bcedeb11059a&mode=current_text
AL,H 235,ALH235,2025,Republican,False,Failed,Failed - Adjourned - House Children and Senior Advocacy Committee,Faulkner (R),,,"Concerns social media, prohibits individuals under 16 years of age from creating accounts, requires age verification, establishes penalties for violations.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H235&ciq=urn:user:PA196471263&client_md=4e6de89d72a83ce4d269f86209e76af7&mode=current_text
AL,HR 244,ALHR244,2025,Republican,False,Failed,Failed - Adjourned - HOUSE,Lomax (R),,Private Sector Use,Appoints committee to its leadership on their acquisition of reliant technologies.,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000HR244&ciq=urn:user:PA196471263&client_md=88178509d5528a04661ed47108cecde3&mode=current_text
AL,H 276,ALH276,2025,Republican,False,Failed,Failed - Adjourned - House Children and Senior Advocacy Committee,Robbins (R),,Private Sector Use,"Concerns consumer protection, requires social media platforms terminate certain accounts, displays notifications, prohibits certain actions, relates to use of age verification, provides for certain tools, removes certain content, provides for penalties violations.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H276&ciq=urn:user:PA196471263&client_md=7bb1f896f172743aa494822ee6dcaf0b&mode=current_text
AL,H 283,ALH283,2025,Republican,False,Failed,Failed - Adjourned - Senate Fiscal Responsibility and Economic Development Committee,Shaw (R),,Private Sector Use,"Concerns data privacy, regulates processing of data, authorizes consumer actions related to data.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H283&ciq=urn:user:PA196471263&client_md=1c7fb73e53fbaea44b24dcb3e424dbb3&mode=current_text
AL,S 294,ALS294,2025,Republican,False,Failed,Failed - Adjourned - Senate Banking and Insurance Committee,Orr (R),,"Health Use, Private Sector Use","Relates to health insurance, regulates and modernizes the prior authorization process.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S294&ciq=urn:user:PA196471263&client_md=d6deec6eea7794238c8fa05b2d136e74&mode=current_text
AL,H 317,ALH317,2025,Republican,False,Failed,Failed - Adjourned - House Children and Senior Advocacy Committee,Sells (R),,"Private Sector Use, Provenance","Relates to consumer protection, app store providers and developers required to take certain actions related to age verification and parental consent, attorney general authorized to bring action for violations as deceptive trade practice, parents authorized to bring civil action.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H317&ciq=urn:user:PA196471263&client_md=a6af312dc67fe179e62587632bd1c7d0&mode=current_text
AL,H 332,ALH332,2025,Republican,False,Failed,Failed - Adjourned - SENATE,Faulkner (R),,Education Use,"Relates to education, public kindergarten through grade 12 schools, completion of approved computer science course required.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H332&ciq=urn:user:PA196471263&client_md=3351384f0b105be726a7ea51bed1917c&mode=current_text
AL,H 365,ALH365,2025,Republican,False,Enacted,Enacted - Act No.  2025-449,Collins (R),,"Education Use, Effect on Labor/Employment, Studies","Creates the State Science, Technology, Engineering, and Mathematics Council in the Department of Workforce, provides for membership, including the executive committee of the council, provides that the duties of the Director of the STEM Council shall include, among other things, conducting comprehensive, external evaluations of STEM based curricula and educational initiatives that receive funding from the Education Trust Fund, provides for meetings.",http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H365&ciq=urn:user:PA196471263&client_md=59fea8921e791d0284f9b1984eefc7e1&mode=current_text
